series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
LNS14000000,Unemployment Rate,Monthly,2021,M02,February,2021-M02,6.2,142863.0,-142856.8,-99.9956601779327,2,,False,,Unemployment Rate for February 2021 was 6.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M02,February,2021-M02,143380.0,6.2,143373.8,2312480.64516129,2,,False,,Total Nonfarm Employment for February 2021 was 143380.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M03,March,2021-M03,6.1,143380.0,-143373.9,-99.99574557120937,3,,False,,Unemployment Rate for March 2021 was 6.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M03,March,2021-M03,144232.0,6.1,144225.9,2364359.0163934426,3,,False,,Total Nonfarm Employment for March 2021 was 144232.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M04,April,2021-M04,6.1,144232.0,-144225.9,-99.99577070275667,4,,False,,Unemployment Rate for April 2021 was 6.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M04,April,2021-M04,144587.0,6.1,144580.9,2370178.6885245903,4,,False,,Total Nonfarm Employment for April 2021 was 144587.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M05,May,2021-M05,5.8,144587.0,-144581.2,-99.99598857435316,5,,False,,Unemployment Rate for May 2021 was 5.8.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M05,May,2021-M05,145065.0,5.8,145059.2,2501020.6896551726,5,,False,,Total Nonfarm Employment for May 2021 was 145065.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M06,June,2021-M06,5.9,145065.0,-145059.1,-99.9959328576845,6,,False,,Unemployment Rate for June 2021 was 5.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M06,June,2021-M06,145820.0,5.9,145814.1,2471425.4237288134,6,,False,,Total Nonfarm Employment for June 2021 was 145820.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M07,July,2021-M07,5.4,145820.0,-145814.6,-99.99629680427925,7,,False,,Unemployment Rate for July 2021 was 5.4.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M07,July,2021-M07,146762.0,5.4,146756.6,2717714.8148148144,7,,False,,Total Nonfarm Employment for July 2021 was 146762.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M08,August,2021-M08,5.1,146762.0,-146756.9,-99.9965249860318,8,,False,,Unemployment Rate for August 2021 was 5.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M08,August,2021-M08,147314.0,5.1,147308.9,2888409.8039215687,8,,False,,Total Nonfarm Employment for August 2021 was 147314.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M09,September,2021-M09,4.7,147314.0,-147309.3,-99.99680953609297,9,,False,,Unemployment Rate for September 2021 was 4.7.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M09,September,2021-M09,147771.0,4.7,147766.3,3143963.829787234,9,,False,,Total Nonfarm Employment for September 2021 was 147771.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M10,October,2021-M10,4.5,147771.0,-147766.5,-99.99695474754857,10,,False,,Unemployment Rate for October 2021 was 4.5.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M10,October,2021-M10,148572.0,4.5,148567.5,3301500.0,10,,False,,Total Nonfarm Employment for October 2021 was 148572.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M11,November,2021-M11,4.1,148572.0,-148567.9,-99.99724039522924,11,,False,,Unemployment Rate for November 2021 was 4.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M11,November,2021-M11,149230.0,4.1,149225.9,3639656.0975609757,11,,False,,Total Nonfarm Employment for November 2021 was 149230.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2021,M12,December,2021-M12,3.9,149230.0,-149226.1,-99.99738658446692,12,,False,,Unemployment Rate for December 2021 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2021,M12,December,2021-M12,149816.0,3.9,149812.1,3841335.8974358975,12,,False,,Total Nonfarm Employment for December 2021 was 149816.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M01,January,2022-M01,4.0,149816.0,-149812.0,-99.99733005820474,1,,False,,Unemployment Rate for January 2022 was 4.0.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2022,M01,January,2022-M01,150006.0,4.0,150002.0,3750050.0,1,,False,,Total Nonfarm Employment for January 2022 was 150006.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2022,M02,February,2022-M02,3.9,150006.0,-150002.1,-99.99740010399584,2,,False,,Unemployment Rate for February 2022 was 3.9.,2026-07-26T19:16:15Z
